TF,Re,TL_OUT,TU_OUT,Tb,Tb_max,PL_in,PL_out,PU_in,PU_out,hi,wc,ho,Dhi,Dho,Dh_m,vin,del_PL,del_PU,del_p,Rth,T_mean,h_mean,f,Nu
0.84,50,310.3234918,305.6418216,313.7041522,316.64,4192.141156,5.723221895,4192.137728,5.723697831,570.6521739,100,479.3478261,170.178282,165.478424,167.828353,0.295222353,4186.417934,4186.414031,4186.415982,0.2349,300.5663284,76116.1065,0.403795689,21.29073465
0.84,100,302.7150577,299.092344,306.7351505,308.42,8503.455205,13.7282494,8503.446205,13.73188694,570.6521739,100,479.3478261,170.178282,165.478424,167.828353,0.590444705,8489.726956,8489.714318,8489.720637,0.1527,297.0268504,103004.6447,0.204716433,28.81183313
0.84,200,298.7020759,296.0488018,303.5639967,304.81,17475.32996,33.92951776,17475.29483,33.94841643,570.6521739,100,479.3478261,170.178282,165.478424,167.828353,1.18088941,17441.40044,17441.34642,17441.37343,0.1166,295.2627194,120463.3902,0.105142911,33.6952873
0.84,300,297.2743883,295.083187,302.4062544,303.54,26921.52326,57.97180586,26921.35232,58.02245733,570.6521739,100,479.3478261,170.178282,165.478424,167.828353,1.771334116,26863.55146,26863.32986,26863.44066,0.1039,294.6643938,129167.9173,0.071974463,36.1300647
0.84,400,296.5199801,294.6074805,301.7334634,302.82,36836.84955,85.18928736,36836.64537,85.26170953,570.6521739,100,479.3478261,170.178282,165.478424,167.828353,2.361778821,36751.66026,36751.38366,36751.52196,0.0967,294.3568651,135563.8413,0.055387869,37.91909369
0.84,500,296.0433474,294.3223097,301.2661018,302.33,47220.25282,115.7330756,47219.71281,115.8419978,570.6521739,100,479.3478261,170.178282,165.478424,167.828353,2.952223526,47104.51975,47103.87081,47104.19528,0.0918,294.1664143,140851.2695,0.045433782,39.39806095
0.84,600,295.7095289,294.1310928,300.9111881,301.96,58061.88887,149.5785897,58061.42201,149.7423635,570.6521739,100,479.3478261,170.178282,165.478424,167.828353,3.542668231,57912.31028,57911.67965,57911.99496,0.0881,294.0351554,145432.7012,0.038790496,40.6795512
0.82,10,369.9756317,363.902336,395.2088411,416.57,836.1982739,0.948804611,836.1982695,0.948812998,576.9230769,100,473.0769231,170.4545455,165.1006711,167.7776083,0.058948774,835.2494692,835.2494565,835.2494629,1.2342,330.0444919,15345.81428,2.020007965,4.291140029
0.82,50,310.1794013,305.5081304,313.5611022,316.48,4239.093278,5.889411226,4239.089103,5.884609656,576.9230769,100,473.0769231,170.4545455,165.1006711,167.7776083,0.294743872,4233.203867,4233.204493,4233.20418,0.2333,300.4968829,76544.94935,0.409511483,21.40421422
0.82,100,302.642535,299.0310173,306.674351,308.35,8606.604279,14.156164,8606.592958,14.13522084,576.9230769,100,473.0769231,170.4545455,165.1006711,167.7776083,0.589487745,8592.448115,8592.457737,8592.452926,0.152,296.9933881,103295.509,0.207804065,28.88445576
0.82,200,298.6643547,296.0202881,303.5315228,304.77,17717.62519,35.05931009,17717.58657,34.99097436,576.9230769,100,473.0769231,170.4545455,165.1006711,167.7776083,1.178975489,17682.56588,17682.5956,17682.58074,0.1162,295.2461607,120694.7859,0.106911035,33.74980418
0.82,300,297.2476818,295.0644356,302.3804089,303.51,27337.73762,60.03339428,27337.56265,59.86001813,576.9230769,100,473.0769231,170.4545455,165.1006711,167.7776083,1.768463234,27277.70423,27277.70264,27277.70343,0.1036,294.6530294,129409.9764,0.073299696,36.18682721
0.82,400,296.498454,294.5932692,301.7101903,302.79,37460.49725,88.37947774,37460.27966,88.12238989,576.9230769,100,473.0769231,170.4545455,165.1006711,167.7776083,2.357950978,37372.11778,37372.15727,37372.13752,0.0964,294.3479308,135827.867,0.056489123,37.98145776
0.82,500,296.0247591,294.3106987,301.2441421,302.3,48084.01876,120.4410778,48083.47556,120.0268424,576.9230769,100,473.0769231,170.4545455,165.1006711,167.7776083,2.947438723,47963.57768,47963.44872,47963.5132,0.0915,294.1588645,141137.7289,0.046398918,39.46625098
0.82,600,295.6927913,294.1211622,300.8900091,301.93,59197.42733,155.8090602,59196.99231,155.3635205,576.9230769,100,473.0769231,170.4545455,165.1006711,167.7776083,3.536926468,59041.61827,59041.62879,59041.62353,0.0878,294.0284884,145740.2878,0.039663649,40.75326152
0.8,10,369.2426648,363.1620379,394.1769489,415.4,845.1757262,0.97371181,845.1757219,0.973718729,583.3333333,100,466.6666667,170.7317073,164.7058824,167.7187948,0.058853078,844.2020144,844.2020031,844.2020088,1.2225,329.6761757,15503.69011,2.047586157,4.333767033
0.8,50,310.0347484,305.3741321,313.4178267,316.33,4287.969154,6.064947249,4287.964715,6.058990574,583.3333333,100,466.6666667,170.7317073,164.7058824,167.7187948,0.294265392,4281.904206,4281.905724,4281.904965,0.2318,300.4272201,76978.6996,0.415425182,21.51795788
0.8,100,302.5697138,298.9696034,306.6133211,308.28,8714.27311,14.60581027,8714.263278,14.58199011,583.3333333,100,466.6666667,170.7317073,164.7058824,167.7187948,0.588530784,8699.667299,8699.681288,8699.674294,0.1513,296.9598293,103589.4597,0.21100794,28.9564989
0.8,200,298.6264102,295.9917252,303.4987756,304.73,17971.51586,36.24148648,17971.48215,36.16766817,583.3333333,100,466.6666667,170.7317073,164.7058824,167.7187948,1.177061568,17935.27437,17935.31448,17935.29443,0.1158,295.2295339,120930.0724,0.10875377,33.80374332
0.8,300,297.2207487,295.0456317,302.3542628,303.47,27775.00166,62.16838203,27774.84268,61.98494439,583.3333333,100,466.6666667,170.7317073,164.7058824,167.7187948,1.765592352,27712.83328,27712.85774,27712.84551,0.1032,294.6415951,129656.8243,0.074685177,36.24314385
0.8,400,296.4767052,294.579011,301.6865998,302.76,38116.91619,91.71966742,38116.71573,91.44688179,583.3333333,100,466.6666667,170.7317073,164.7058824,167.7187948,2.354123136,38025.19652,38025.26885,38025.23268,0.0961,294.3389291,136097.551,0.057643149,38.04352873
0.8,500,296.0059365,294.2990347,301.22185,302.27,48994.40945,125.2775599,48993.9166,124.852329,583.3333333,100,466.6666667,170.7317073,164.7058824,167.7187948,2.94265392,48869.13189,48869.06427,48869.09808,0.0912,294.1512428,141430.5701,0.047412201,39.5342746
0.8,600,295.675812,294.1111791,300.8684965,301.9,60395.57637,162.4039203,60395.20025,161.8919617,583.3333333,100,466.6666667,170.7317073,164.7058824,167.7187948,3.531184704,60233.17245,60233.30829,60233.24037,0.0875,294.0217478,146054.725,0.040581634,40.82687076
0.78,10,368.5030954,362.4152889,393.1330106,414.21,854.5044553,0.99998856,854.504445,1.000002413,589.8876404,100,460.1123596,171.009772,164.2928786,167.6513253,0.058757382,853.5044667,853.5044426,853.5044546,1.2106,329.3045961,15667.00359,2.076062112,4.377656526
0.78,50,309.8895209,305.2398299,313.2743236,316.17,4338.903846,6.250506658,4338.899327,6.24390124,589.8876404,100,460.1123596,171.009772,164.2928786,167.6513253,0.293786912,4332.653339,4332.655425,4332.654382,0.2302,300.3573377,77417.44125,0.42154951,21.63189438
0.78,100,302.4965814,298.9081022,306.5520504,308.21,8826.798376,15.08232023,8826.790676,15.05618706,589.8876404,100,460.1123596,171.009772,164.2928786,167.6513253,0.587573823,8811.716056,8811.734489,8811.725272,0.1506,296.9261709,103886.6107,0.214336186,29.02787993
0.78,200,298.5882349,295.9631105,303.4657427,304.69,18237.9313,37.50260572,18237.90257,37.42142988,589.8876404,100,460.1123596,171.009772,164.2928786,167.6513253,1.175147647,18200.42869,18200.48114,18200.45492,0.1154,295.2128364,121169.4354,0.110676853,33.85702737
0.78,300,297.1935703,295.0267703,302.3277953,303.44,28235.07022,64.45931928,28234.92235,64.26410615,589.8876404,100,460.1123596,171.009772,164.2928786,167.6513253,1.76272147,28170.6109,28170.65824,28170.63457,0.1029,294.6300851,129908.7616,0.076135757,36.2989601
0.78,400,296.4547314,294.5647008,301.6626767,302.72,38808.89509,95.31841189,38808.70169,95.0358471,589.8876404,100,460.1123596,171.009772,164.2928786,167.6513253,2.350295293,38713.57667,38713.66585,38713.62126,0.0957,294.329858,136373.2067,0.058854323,38.10524806
0.78,500,295.9868664,294.2873145,301.1992148,302.23,49955.45511,130.5105055,49955.00169,130.0453249,589.8876404,100,460.1123596,171.009772,164.2928786,167.6513253,2.937869117,49824.94461,49824.95636,49824.95049,0.0908,294.1435452,141729.9942,0.048477634,39.60203559
